"Id"	"Association"	"Telephone number"	"Email"	"Description"	"Web"
29	"National Alliance of People with Rare Diseases (NAPRD)"	"+359 888 323 748"	"tomov@raredis.org"	"National Alliance of People with Rare Diseases (NAPRD) is a non-governmental organization bringing together patient organizations and individuals with rare diseases. The Alliance was founded in 2007 by representatives of 8 diseases to advocate for their rights and to promote improvements in prevention, diagnostics, treatment, rehabilitation and quality of life of people with rare conditions. By the end of 2012 NAPRD is concerned with the problems of living with 49 illnesses. Through our activities we aim at raising awareness about the needs of people with rare diseases. We interact with legislative and health institutions to ensure proper and equal treatment and care for the patients. President and founder of the National Alliance is Mr. Vladimir Tomov."	"https://rare-bg.com/"
30	"Asociația Pacienților cu Boala Fabry din România (APBFR)"	"+40 746 614 936"	"contact@fabryromania.ro"	"Asociația Pacienților cu Boala Fabry din România (APBFR) a fost înfiițată cu scopul de a oferi acces pacienților, familiilor și clinicienilor la informații generale despre boala Fabry și de a promova conștientizarea și recunoașterea acestei boli rare în România. Prin intermediul site-ului fabryromania.ro se promovează schimbul de informații între persoanele afectate. Pacienții vor găsi acces ușor la informațiile medicale și vor ajuta medicii să monitorizeze această boală rară. Împărtășirea experiențelor între pacienți ajută la întărirea stării psihice a acestora și facilitează tratarea zilnică a bolii."	"https://www.fabryromania.ro/"
31	"Gyvastis"	"+370 611 69530"	"gyvastis@donoras.lt"	"Lietuvos asociacija „Gyvastis“ vienintelė nevyriausybinė organizacija, vienijanti organų transplantacijos laukiančius ir su persodintais organais gyvenančius žmones. Taip pat tuos, kurie  serga inkstų (nefrologinėmis) ligomis, jų artimuosius, medikus. Organizaciją sudaro 7 pacientų organizacijos: 2 skyriai (Vilniaus ir Marijampolės) ir 5 asocijuoti nariai, kurie dirba Kauno, Klaipėdos, Alytaus, Šiaulių ir Vilkaviškio regionuose. Šiuo metu asociacijoje yra apie 1000 narių."	"https://donoras.lt/"
32	"Suomen Fabry Yhdistys"	"0400 656 076"	"info@suomenfabry.fi "	"Suomen Fabry-yhdistys aloitti virallisen toimintansa vuonna 2004, jolloin sen säännöt merkittiin yhdistysrekisteriin. Epävirallinen toiminta alkoi kuitenkin jo vuonna 2002. Yhdistys on vakiinnuttanut aktiivisen ja säännöllisen toimintansa vuoksi paikkansa yhtenä Neuroliiton jäsenjärjestönä. Jäsenistö on osallistunut aktiivisesti toimintaan, mikä osoittaa järjestetyn toiminnan tarpellisuuden."	"https://fabry.neuroliitto.fi/"
33	"MPS society Turkey"	"0542 718 89 18"	"mpsturk@gmail.com"	"Mukopolisakkaridoz ve Benzeri Lizozomal Depo Hastalıkları (MPS LH) Derneği, 6 Mayıs 2009’da kuruldu. Derneğimiz, MPS ve lizozomal depo hastalıklarıyla mücadele eden kişilere ekonomik, sosyal, kültürel, hukuki, mesleki, eğitim ve benzeri konularda yol göstermeyi, bilgilendirmeyi ve daha kaliteli yaşam koşullarına erişebilmelerini sağlamayı amaçlıyoruz."	"https://mpsturk.org/"
34	"RADOIR"	"+98 (21) 66572937 – 66572947"	"info@radoir.org"	"Rare Diseases Foundation of Iran is a non-profit institution with national and international sphere of operation. This foundation was established in 2008 with all the assistance extended by Dr Ali Davoudian given the requirements of the health system and lack of an organization to support rare disease patients in Iran. Word orphan “meaning Nader or Yatim in Persian” is used for those diseases with incidence of 1 to 5 in every 10000 people.  According to the statistics produced by the concerned organizations total number of patients suffering from known 6000 to 8000 rare diseases includes 8 percent of the total world population. In the late 1980s and early 1990s those countries with developed social security and medical services found that there were a number of diseases that could not be classified in the classic diseases categories and because of their rare incidence should only be included in a category solely produced for such diseases. Since then lots of studies done on rare diseases and in a very short period many rare diseases were identified accordingly.  In Iran until now 58 rare diseases have been identified; diseases that have affected more than 1.2 million people of Iran."	"https://www.radoir.org/"
35	"Fabry Korea"	"010-4604-0205 "	"fabrykorea21@gmail.com"	"파브리코리아는 비영리조직으로 한국에 거주하는 파브리병 환우들과 가족들이 파브리 질환에 대해 정확히 이해하고 대처할 수 있도록 지원하는 단체로 설립 되었습니다. 또한 파브리 질환이 다양한 관계자들과 소통하고 협력하여 환우들의 삶의 질을 높이기 위해 노력하는 다양한 활동(정보제공 프로그램, 정서지원, 권리옹호, 인식증진사업 등)을 전개하고 있습니다."	"https://www.fabrykorea.com/"
36	"Japan Fabry Next"			"Fabry NEXT（ファブリーネクスト）は、ファブリー病を含むライソゾーム病など希少疾患に関心のある方々の情報交換と交流を目的とした支援団体です。患者さん・ご家族・医療関係者等、ライソゾーム病に関係する方・関心のある方ならどなたでも参加できます"	"https://fabry-next.com/"
37	"Japan Fabry Disease Patients and Family Association (JFA)"			"ファブリ－病は、希少疾病といわれ、ライソゾーム病の１つで、患者数が少ない病気です。 見た目には解らない症状を持ち、その症状には個人差があります。就学上、就労上においても生活上の困難さを抱えています。患者が全国に点在しているために、同じ課題を抱える患者・家族が連絡を取り合うことも難しく、情報不足に加え専門医が不足しているために、必要以上の悩みや不安にさらされています。私たち、（一社）全国ファブリ－病患者と家族の会（別称：ふくろうの会）は、全国各地でセミナー・シンポジウム(勉強会)を開催しています。積極的に参加することで、最新の医療情報で、最新の治療が正しくできているのか自らチェックし、今後の新たな治療への取り組みや、活力ある生活をするための手立てを習得できるような内容となっています。発症しているのに診断が確定していない方や発症していないために気づいていない方、また一般の方にも理解促進を兼ね、あまねく広く啓発活動をしています。また患者・家族が懇親を深めること で、医療向上にも寄与することを目指しています。"	"https://www.fabrynet.jp/"
38	"Taiwan Foundation for Rare Disorders"	"886-2-2521-0717"		"TFRD, established in 1999, has been an active force in advocating for rare disease patients in respect of medication, education, and employment, and will continue to give its best effort to light up the lives of many rare disease patients."	"https://www.tfrd.org.tw/tfrd/"
39	"Philippine Society for Orphan Disorders"	"(02) 661 8935"	"info@psod.org.ph"	"In the Philippines, over the past fifteen years, a handful of Philippine medical professionals from the University of the Philippines, National Institute of Health, Institute of Human Genetics have been attending to these patients, dedicating themselves to create awareness in the country, and continue to undertake clinical trials to contribute to the body of world knowledge that would lead to improving the health of Filipino patients with rare disorders. With increasing number of patients requiring huge amounts of funds, at times not readily available, in June of 2006, The Philippine Society for Orphan Disorders, Inc.a non-stock, non-profit organization was organized to continue the efforts of these doctors to ensure sustainability of medical and financial support of patients with rare disorders."	"https://www.psod.org.ph/"
40	"Malaysia Metabolic Society"	60196899620	"info@mymlda.com"	"The Malaysia Lysosomal Diseases Association (MLDA) is a non-for-profit patient support organisation dedicated to improving the lives of all patients afflicted by Lysosomal Storage Diseases by: Advocating for the establishment of a sustainable healthcare system for all LSD patients; Creating greater awareness of the 50 Lysosomal Storage Diseases; Supporting research for a cure and treatment that will improve the quality of life of the patients; Developing and sustaining an effective patient community network that provides comprehensive support for the ever-increasing needs of individuals and families affected by Lysosomal Storage Diseases."	"https://www.mymlda.com/"
41	"MPS & LSD Indonesia"		"mpsdanpenyakitlangka@gmail.com"	"Yayasan MPS dan Penyakit Langka Indonesia is a non-profit organization that was established in March 2016. The foundation was formed after the convening of ""Indonesia Rare Disease Day"" for the first time on 29 February 2016. The foundation was established as a first step to embrace the patient, government and stakeholders from inside and outside the country for better governance in Indonesia. The foundation's name comes from one of the rare disease, MPS or mucopolysaccharidosis, but this foundation membership is open to all rare disease patients and their families. Some of the rare diseases that have joined this foundation include maple syrup urine disease (MSUD), deficiency 6-Pyruvoyl-Tetrahydropterin Synthase (PTPS), deficiency of tyrosine hydroxylase, Gaucher Syndrome, Wilson Syndrome, isovaleric academia, glycogen storage disease, phenylketonuria, and there are many more that cannot be mentioned one by one."	"https://www.penyakitlangkaindonesia.org/"
42	"Fabry Australia"		"admin@fabry.com.au"	"Fabry Australia is a patient-run non-profit organisation founded in 1994 around the kitchen table by Fabry patients. It is a registered charity supported by voluntary donations, educational grants, fundraising and is managed by a voluntary management Committee. Fabry Australia’s mission is ‘Uniting and Supporting the Australian Fabry Community’. We do this by focussing on the goals, as referred to below, set out in the Fabry Australia Strategic Plan, which was developed by the management committee. All actions are documented at our committee meetings in accordance with the Australian Charities and Not-for-profits Commission (ACNC). We share regular updates via our Fabry eNews which is produced quarterly and sent to members. Membership is free."	"https://www.fabry.com.au/"
43	"Fabry nz"	"+64 210 749 667"	"fabrynewzealand@gmail.com"	"Fabry NZ is a small collection of people affected by Fabry Disease, who together provide support for themselves and others, advocate for greater acknowledgement and treatment options within the NZ Health System, and connect patients & families with resources where possible. If you or someone you know has a diagnosis of Fabry Disease, then please feel welcome to connect with us, learn more about the symptoms, and join us on Facebook. We have no formal structure at this time. The group is facilitated by Liz Hunt who you can reach by email at fabrynewzealand@gmail.com."	"https://fabry.org.nz/"
