ORPHAcode	PreferredTerm	Synonyms	ICDcodes
365	Glycogen storage disease due to acid maltase deficiency	Alpha-1,4-glucosidase acid deficiency	
365	Glycogen storage disease due to acid maltase deficiency	GSD due to acid maltase deficiency	
365	Glycogen storage disease due to acid maltase deficiency	GSD type 2	
365	Glycogen storage disease due to acid maltase deficiency	GSD type II	
365	Glycogen storage disease due to acid maltase deficiency	Glycogen storage disease type 2	
365	Glycogen storage disease due to acid maltase deficiency	Glycogen storage disease type II	
365	Glycogen storage disease due to acid maltase deficiency	Glycogenosis due to acid maltase deficiency	
365	Glycogen storage disease due to acid maltase deficiency	Glycogenosis type 2	
365	Glycogen storage disease due to acid maltase deficiency	Glycogenosis type II	
365	Glycogen storage disease due to acid maltase deficiency	Pompe disease	
366	Glycogen storage disease due to glycogen debranching enzyme deficiency		E74.0
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	Amylo-1,6-glucosidase deficiency	
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	Cori disease	
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	Cori-Forbes disease	
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	Forbes disease	
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	GDE deficiency	
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	GSD due to glycogen debranching enzyme deficiency	
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	GSD type 3	
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	GSDIII	
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	Glycogen storage disease type 3	
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	Glycogen storage disease type III	
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	Glycogenosis due to glycogen debranching enzyme deficiency	
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	Glycogenosis type 3	
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	Glycogenosis type III	
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	Limit dextrinosis	
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency		E74.0
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	GSD due to muscle glycogen phosphorylase deficiency	
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	GSD type 5	
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	GSD type V	
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	Glycogen storage disease type 5	
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	Glycogen storage disease type V	
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	Glycogenosis due to muscle glycogen phosphorylase deficiency	
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	Glycogenosis type 5	
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	Glycogenosis type V	
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	McArdle disease	
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	Myophosphorylase deficiency	
367	Glycogen storage disease due to glycogen branching enzyme deficiency		E74.0
367	Glycogen storage disease due to glycogen branching enzyme deficiency	Amylopectinosis	
367	Glycogen storage disease due to glycogen branching enzyme deficiency	Andersen disease	
367	Glycogen storage disease due to glycogen branching enzyme deficiency	GSD due to glycogen branching enzyme deficiency	
367	Glycogen storage disease due to glycogen branching enzyme deficiency	GSD type 4	
367	Glycogen storage disease due to glycogen branching enzyme deficiency	GSD type IV	
367	Glycogen storage disease due to glycogen branching enzyme deficiency	Glycogen storage disease type 4	
367	Glycogen storage disease due to glycogen branching enzyme deficiency	Glycogen storage disease type IV	
367	Glycogen storage disease due to glycogen branching enzyme deficiency	Glycogenosis due to glycogen branching enzyme deficiency	
367	Glycogen storage disease due to glycogen branching enzyme deficiency	Glycogenosis type 4	
367	Glycogen storage disease due to glycogen branching enzyme deficiency	Glycogenosis type IV	
166100	Autosomal dominant otospondylomegaepiphyseal dysplasia		Q87.0
166100	Autosomal dominant otospondylomegaepiphyseal dysplasia	AD OSMED	
166100	Autosomal dominant otospondylomegaepiphyseal dysplasia	Stickler syndrome type 3	
166100	Autosomal dominant otospondylomegaepiphyseal dysplasia	Stickler syndrome, non-ocular type	
371	Glycogen storage disease due to muscle phosphofructokinase deficiency		E74.0
371	Glycogen storage disease due to muscle phosphofructokinase deficiency	GSD due to muscle phosphofructokinase deficiency	
371	Glycogen storage disease due to muscle phosphofructokinase deficiency	GSD type 7	
371	Glycogen storage disease due to muscle phosphofructokinase deficiency	GSD type VII	
371	Glycogen storage disease due to muscle phosphofructokinase deficiency	Glycogen storage disease type 7	
371	Glycogen storage disease due to muscle phosphofructokinase deficiency	Glycogen storage disease type VII	
371	Glycogen storage disease due to muscle phosphofructokinase deficiency	Glycogenosis due to muscle phosphofructokinase deficiency	
371	Glycogen storage disease due to muscle phosphofructokinase deficiency	Glycogenosis type 7	
371	Glycogen storage disease due to muscle phosphofructokinase deficiency	Glycogenosis type VII	
371	Glycogen storage disease due to muscle phosphofructokinase deficiency	Tarui disease	
166105	FASTKD2-related infantile mitochondrial encephalomyopathy		G71.3
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency		E74.0
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	GSD due to liver glycogen phosphorylase deficiency	
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	GSD type 6	
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	GSD type VI	
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	Glycogen storage disease type 6	
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	Glycogen storage disease type VI	
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	Glycogenosis due to liver glycogen phosphorylase deficiency	
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	Glycogenosis type 6	
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	Glycogenosis type VI	
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	Hepatic glycogen phosphorylase deficiency	
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	Hepatic phosphorylase deficiency	
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	Hers disease	
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	Liver glycogen phosphorylase deficiency	
447	Paroxysmal nocturnal hemoglobinuria		D59.5
447	Paroxysmal nocturnal hemoglobinuria	Marchiafava-Micheli disease	
447	Paroxysmal nocturnal hemoglobinuria	PNH	
166108	Intellectual disability, Birk-Barel type		Q87.8
166108	Intellectual disability, Birk-Barel type	Intellectual disability-hypotonia-facial dysmorphism syndrome	
166113	Bazex syndrome		L44.8
166113	Bazex syndrome	Acrokeratosis of Bazex	
166113	Bazex syndrome	Acrokeratosis paraneoplastica	
166113	Bazex syndrome	Acrokeratosis paraneoplastica of Bazex	
166119	Isolated osteopoikilosis		Q78.8
487	Krabbe disease		E75.2
487	Krabbe disease	GALC deficiency	
487	Krabbe disease	Galactocerebrosidase deficiency	
487	Krabbe disease	Galactosylceramidase deficiency	
487	Krabbe disease	Globoid cell leukodystrophy	
583	Mucopolysaccharidosis type 6		E76.2
583	Mucopolysaccharidosis type 6	ARSB deficiency	
583	Mucopolysaccharidosis type 6	ASB deficiency	
583	Mucopolysaccharidosis type 6	Arylsulfatase B deficiency	
583	Mucopolysaccharidosis type 6	MPS6	
583	Mucopolysaccharidosis type 6	MPSVI	
583	Mucopolysaccharidosis type 6	Maroteaux-Lamy disease	
583	Mucopolysaccharidosis type 6	Mucopolysaccharidosis type VI	
583	Mucopolysaccharidosis type 6	N-acetylgalactosamine 4-sulfatase deficiency	
166272	Odontochondrodysplasia		Q78.8
166272	Odontochondrodysplasia	Chondrodysplasia-dentinogenesis imperfecta-joint laxity syndrome	
166272	Odontochondrodysplasia	Goldblatt chondrodysplasia	
166272	Odontochondrodysplasia	Goldblatt syndrome	
166272	Odontochondrodysplasia	ODCD	
576	Mucolipidosis type II		E77.0
576	Mucolipidosis type II	I-cell disease	
576	Mucolipidosis type II	Mucolipidosis type II alpha/beta	
576	Mucolipidosis type II	N-acetylglucosamine 1-phosphotransferase deficiency	
166277	Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia		Q78.8
166277	Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia	Suarez-Stickler syndrome	
812	Sialidosis type 1		E77.1
812	Sialidosis type 1	Cherry-red spot-myoclonus syndrome	
812	Sialidosis type 1	Lipomucopolysaccharidosis	
812	Sialidosis type 1	Normomorphic sialidosis	
166282	Familial sick sinus syndrome		I49.5
578	Mucolipidosis type IV		E75.1
166286	Porokeratotic eccrine ostial and dermal duct nevus		Q82.5
166286	Porokeratotic eccrine ostial and dermal duct nevus	Comedo nevus of the palm	
166286	Porokeratotic eccrine ostial and dermal duct nevus	Porokeratotic eccrine nevus	
577	Mucolipidosis type III		E77.0
577	Mucolipidosis type III	Pseudo-Hurler polydystrophy	
166291	Dirofilariasis		B74.8
166308	Benign infantile focal epilepsy with midline spikes and waves during sleep		G40.0
166308	Benign infantile focal epilepsy with midline spikes and waves during sleep	BIMSE	
166305	Benign infantile seizures associated with mild gastroenteritis		G40.4
2912	Poliomyelitis		A80.4
2912	Poliomyelitis		A80.2
2912	Poliomyelitis		A80.3
2912	Poliomyelitis		A80.9
2912	Poliomyelitis		A80.0
2912	Poliomyelitis		A80.1
166302	Benign partial epilepsy with secondarily generalized seizures in infancy		G40.1
166299	Benign partial epilepsy of infancy with complex partial seizures		G40.2
796	Sandhoff disease		E75.0
796	Sandhoff disease	GM2 gangliosidosis 0 variant	
796	Sandhoff disease	Hexosaminidases A and B deficiency	
166409	Photosensitive epilepsy		G40.5
461	Recessive X-linked ichthyosis		Q80.1
461	Recessive X-linked ichthyosis	RXLI	
461	Recessive X-linked ichthyosis	Steroid sulfatase deficiency	
461	Recessive X-linked ichthyosis	X-linked ichthyosis	
461	Recessive X-linked ichthyosis	XLI	
166421	Orgasm-induced seizures		G40.5
166418	Eating reflex epilepsy		G40.5
166418	Eating reflex epilepsy	Eating epilepsy	
166418	Eating reflex epilepsy	Eating seizures	
166415	Audiogenic seizures		G40.5
584	Mucopolysaccharidosis type 7		E76.2
584	Mucopolysaccharidosis type 7	Beta-glucuronidase deficiency	
584	Mucopolysaccharidosis type 7	MPS7	
584	Mucopolysaccharidosis type 7	MPSVII	
584	Mucopolysaccharidosis type 7	Mucopolysaccharidosis type VII	
584	Mucopolysaccharidosis type 7	Sly disease	
166412	Hot water reflex epilepsy		G40.5
166433	Reading seizures		G40.5
166430	Micturation-induced seizures		G40.5
881	Turner syndrome		Q96.0
881	Turner syndrome	45,X syndrome	Q96.1
881	Turner syndrome	45,X/46,XX syndrome	Q96.8
881	Turner syndrome		Q96.9
881	Turner syndrome		Q96.2
881	Turner syndrome		Q96.3
881	Turner syndrome		Q96.4
166427	Startle epilepsy		G40.5
166424	Thinking seizures		G40.5
95	Friedreich ataxia		G11.1
95	Friedreich ataxia	FA	
95	Friedreich ataxia	FRDA	
848	Beta-thalassemia		D56.1
846	Alpha-thalassemia		D56.0
586	Cystic fibrosis		E84.0
586	Cystic fibrosis	CF	E84.1
586	Cystic fibrosis	Mucoviscidosis	E84.8
261	Emery-Dreifuss muscular dystrophy		G71.0
261	Emery-Dreifuss muscular dystrophy	EDMD	
550	MELAS		G71.3
550	MELAS	Mitochondrial encephalomyopathy, lactic acidosis and stroke-like episodes	
550	MELAS	Mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes	
550	MELAS	Mitochondrial myopathy, encephalopathy, lactic acidosis and stroke-like episodes	
269	Facioscapulohumeral dystrophy		G71.0
269	Facioscapulohumeral dystrophy	FSH dystrophy	
269	Facioscapulohumeral dystrophy	FSHD	
269	Facioscapulohumeral dystrophy	Facioscapulohumeral muscular dystrophy	
269	Facioscapulohumeral dystrophy	Facioscapulohumeral myopathy	
269	Facioscapulohumeral dystrophy	Landouzy-Dejerine dystrophy	
269	Facioscapulohumeral dystrophy	Landouzy-Dejerine myopathy	
480	Kearns-Sayre syndrome		H49.8
551	MERRF		G71.3
551	MERRF	Fukuhara syndrome	
551	MERRF	Myoclonus epilepsy associated with ragged-red fibres	
597	Central core disease		G71.2
163746	Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease		E75.2
163746	Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	Neurologic Waardenburg-Shah syndrome	
163746	Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	PCWH	
163746	Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	WS4 plus	
684	Paramyotonia congenita of Von Eulenburg		G71.1
684	Paramyotonia congenita of Von Eulenburg	Paramyotonia congenita	
163931	Acrodermatitis continua of Hallopeau		L40.2
273	Steinert myotonic dystrophy		G71.1
273	Steinert myotonic dystrophy	Myotonic dystrophy type 1	
273	Steinert myotonic dystrophy	Steinert disease	
163927	Pustulosis palmaris et plantaris		L40.3
163927	Pustulosis palmaris et plantaris	LPP	
163927	Pustulosis palmaris et plantaris	Localized pustular psoriasis	
163927	Pustulosis palmaris et plantaris	PPP	
163927	Pustulosis palmaris et plantaris	Palmoplantar pustulosis	
163937	X-linked intellectual disability, Najm type		Q04.3
163937	X-linked intellectual disability, Najm type	MICPCH	
163937	X-linked intellectual disability, Najm type	X-linked intellectual disability-microcephaly-pontocerebellar hypoplasia syndrome	
163934	Atopic keratoconjunctivitis		H16.2
614	Thomsen and Becker disease		G71.1
614	Thomsen and Becker disease	Myotonia congenita	
163921	Posttransplant acute limbic encephalitis		G04.8
163921	Posttransplant acute limbic encephalitis	PALE	
163966	X-linked dominant chondrodysplasia, Chassaing-Lacombe type		Q87.8
163966	X-linked dominant chondrodysplasia, Chassaing-Lacombe type	X-linked dominant chondrodysplasia-hydrocephaly-microphthalmia syndrome	
163971	X-linked intellectual disability, Cilliers type		Q87.8
163971	X-linked intellectual disability, Cilliers type	X-linked intellectual disability-microcephaly-testicular failure syndrome	
163976	X-linked intellectual disability, Van Esch type		Q87.8
163979	X-linked intellectual disability-craniofacioskeletal syndrome		Q87.8
163956	X-linked intellectual disability, Nascimento type		Q87.8
163956	X-linked intellectual disability, Nascimento type	X-linked intellectual disability-nail dystrophy-seizures syndrome	
163961	X-linked cerebral-cerebellar-coloboma syndrome		Q87.8
163961	X-linked cerebral-cerebellar-coloboma syndrome	X-linked intellectual disability, Kroes type	
164726	Acute myeloid leukemia and myelodysplastic syndromes related to radiation		D46.7
164726	Acute myeloid leukemia and myelodysplastic syndromes related to radiation	AML and myelodysplastic syndromes related to radiation	
324	Fabry disease		E75.2
324	Fabry disease	Alpha-galactosidase A deficiency	
324	Fabry disease	Anderson-Fabry disease	
324	Fabry disease	Angiokeratoma corporis diffusum	
324	Fabry disease	Diffuse angiokeratoma	
324	Fabry disease	FD	
163985	Hyperekplexia-epilepsy syndrome		G25.8
778	Rett syndrome		F84.2
72	Angelman syndrome		Q93.5
307	Juvenile myoclonic epilepsy		G40.3
307	Juvenile myoclonic epilepsy	JME	
307	Juvenile myoclonic epilepsy	Juvenile myoclonus epilepsy	
1941	Juvenile absence epilepsy		G40.3
1941	Juvenile absence epilepsy	JAE	
892	Von Hippel-Lindau disease		Q85.8
892	Von Hippel-Lindau disease	Familial cerebelloretinal angiomatosis	
892	Von Hippel-Lindau disease	Lindau disease	
892	Von Hippel-Lindau disease	VHL	
892	Von Hippel-Lindau disease	Von Hippel-Lindau syndrome	
731	Autosomal recessive polycystic kidney disease		Q61.1
731	Autosomal recessive polycystic kidney disease	AR-PKD	
164736	Familial advanced sleep-phase syndrome		G47.2
164736	Familial advanced sleep-phase syndrome	FASPS	
138	CHARGE syndrome		Q87.8
138	CHARGE syndrome	CHARGE association	
138	CHARGE syndrome	Coloboma-heart defects-atresia choanae-retardation of growth and development-genitourinary problems-ear abnormalities syndrome	
138	CHARGE syndrome	Hall-Hittner syndrome	
558	Marfan syndrome		Q87.4
558	Marfan syndrome	MFS	
165805	Familial mesial temporal lobe epilepsy with febrile seizures		G40.0
803	Amyotrophic lateral sclerosis		G12.2
803	Amyotrophic lateral sclerosis	ALS	
803	Amyotrophic lateral sclerosis	Charcot disease	
803	Amyotrophic lateral sclerosis	Lou Gehrig disease	
100	Ataxia-telangiectasia		G11.3
100	Ataxia-telangiectasia	Louis-Bar syndrome	
733	Familial adenomatous polyposis		D12.6
733	Familial adenomatous polyposis	Colorectal adenomatous polyposis	
733	Familial adenomatous polyposis	FAP	
733	Familial adenomatous polyposis	Familial polyposis coli	
399	Huntington disease		G10
399	Huntington disease	Huntington chorea	
165955	Wound myiasis		B87.1
165955	Wound myiasis	Traumatic myiasis	
501	Lafora disease		G40.3
501	Lafora disease	EPM2	
501	Lafora disease	PME type 2	
501	Lafora disease	Progressive myoclonic epilepsy type 2	
501	Lafora disease	Progressive myoclonus epilepsy type 2	
870	Down syndrome		Q90.0
870	Down syndrome	Trisomy 21	Q90.1
870	Down syndrome		Q90.2
870	Down syndrome		Q90.9
165958	Cavitary myiasis		B87.8
512	Metachromatic leukodystrophy		E75.2
512	Metachromatic leukodystrophy	Arylsulfatase A deficiency	
512	Metachromatic leukodystrophy	MLD	
166011	Multiple epiphyseal dysplasia, Beighton type		Q77.3
166011	Multiple epiphyseal dysplasia, Beighton type	Multiple epiphyseal dysplasia-myopia-deafness syndrome	
166011	Multiple epiphyseal dysplasia, Beighton type	Multiple epiphyseal dysplasia-myopia-hearing loss syndrome	
567	22q11.2 deletion syndrome		D82.1
567	22q11.2 deletion syndrome	22q11DS	
567	22q11.2 deletion syndrome	CATCH 22	
567	22q11.2 deletion syndrome	Cayler cardiofacial syndrome	
567	22q11.2 deletion syndrome	Conotruncal anomaly face syndrome	
567	22q11.2 deletion syndrome	DiGeorge sequence	
567	22q11.2 deletion syndrome	DiGeorge syndrome	
567	22q11.2 deletion syndrome	Microdeletion 22q11.2	
567	22q11.2 deletion syndrome	Monosomy 22q11	
567	22q11.2 deletion syndrome	Sedlackova syndrome	
567	22q11.2 deletion syndrome	Shprintzen syndrome	
567	22q11.2 deletion syndrome	Takao syndrome	
567	22q11.2 deletion syndrome	Velocardiofacial syndrome	
166016	Multiple epiphyseal dysplasia, Lowry type		Q78.8
166016	Multiple epiphyseal dysplasia, Lowry type	Multiple epiphyseal dysplasia with Robin phenotype	
232	Sickle cell anemia		D57.0
232	Sickle cell anemia		D57.1
232	Sickle cell anemia		D57.2
536	Systemic lupus erythematosus		M32.0
536	Systemic lupus erythematosus	Disseminated lupus erythematosus	M32.1
536	Systemic lupus erythematosus	SLE	M32.8
536	Systemic lupus erythematosus		M32.9
166002	Multiple epiphyseal dysplasia due to collagen 9 anomaly		Q77.3
534	Oculocerebrorenal syndrome of Lowe		E72.0
534	Oculocerebrorenal syndrome of Lowe	Lowe disease	
534	Oculocerebrorenal syndrome of Lowe	Lowe oculo-cerebro-renal dystrophy	
534	Oculocerebrorenal syndrome of Lowe	Lowe oculo-cerebro-renal syndrome	
534	Oculocerebrorenal syndrome of Lowe	Lowe oculocerebrorenal dystrophy	
534	Oculocerebrorenal syndrome of Lowe	Lowe syndrome	
534	Oculocerebrorenal syndrome of Lowe	OCRL	
534	Oculocerebrorenal syndrome of Lowe	Phosphatidylinositol 4,5-biphosphate 5-phosphatase deficiency	
790	Retinoblastoma		C69.2
165991	Exercise-induced hyperinsulinism		E16.1
165991	Exercise-induced hyperinsulinism	EIHI	
165991	Exercise-induced hyperinsulinism	Exercise-induced hyperinsulinemic hypoglycemia	
165991	Exercise-induced hyperinsulinism	Hyperinsulinism due to SLC16A1 deficiency	
165991	Exercise-induced hyperinsulinism	Hyperinsulinism due to monocarboxylate transporter 1 deficiency	
652	Multiple endocrine neoplasia type 1		D44.8
652	Multiple endocrine neoplasia type 1	MEN1	
652	Multiple endocrine neoplasia type 1	Wermer syndrome	
908	Fragile X syndrome		Q99.2
908	Fragile X syndrome	FRAXA syndrome	
908	Fragile X syndrome	FXS	
908	Fragile X syndrome	FraX syndrome	
908	Fragile X syndrome	Martin-Bell syndrome	
3099	Rheumatic fever		I00
3099	Rheumatic fever	Acute rheumatic fever	I01.0
3099	Rheumatic fever		I01.1
3099	Rheumatic fever		I01.2
3099	Rheumatic fever		I01.8
3099	Rheumatic fever		I01.9
739	Prader-Willi syndrome		Q87.1
739	Prader-Willi syndrome	Prader-Labhart-Willi syndrome	
580	Mucopolysaccharidosis type 2		E76.1
580	Mucopolysaccharidosis type 2	Hunter syndrome	
580	Mucopolysaccharidosis type 2	Iduronate 2-sulfatase deficiency	
580	Mucopolysaccharidosis type 2	MPS2	
580	Mucopolysaccharidosis type 2	MPSII	
580	Mucopolysaccharidosis type 2	Mucopolysaccharidosis type II	
579	Mucopolysaccharidosis type 1		E76.0
579	Mucopolysaccharidosis type 1	Alpha-L-iduronidase deficiency	
579	Mucopolysaccharidosis type 1	MPS1	
579	Mucopolysaccharidosis type 1	MPSI	
579	Mucopolysaccharidosis type 1	Mucopolysaccharidosis type I	
905	Wilson disease		E83.0
905	Wilson disease	Hepatolenticular degeneration	
792	X-linked retinoschisis		Q14.1
792	X-linked retinoschisis	X-linked juvenile retinoschisis	
792	X-linked retinoschisis	XLRS	
163525	Subacute cutaneous lupus erythematosus		L93.1
827	Stargardt disease		H35.5
827	Stargardt disease	Fundus flavimaculatus	
827	Stargardt disease	Stargardt 1	
906	Wiskott-Aldrich syndrome		D82.0
906	Wiskott-Aldrich syndrome	Eczema-thrombocytopenia-immunodeficiency syndrome	
906	Wiskott-Aldrich syndrome	WAS	
904	Williams syndrome		Q93.8
904	Williams syndrome	Deletion 7q11.23	
904	Williams syndrome	Monosomy 7q11.23	
904	Williams syndrome	Williams-Beuren syndrome	
280	Wolf-Hirschhorn syndrome		Q93.3
280	Wolf-Hirschhorn syndrome	4p- syndrome	
280	Wolf-Hirschhorn syndrome	Distal deletion 4p	
280	Wolf-Hirschhorn syndrome	Distal monosomy 4p	
280	Wolf-Hirschhorn syndrome	Telomeric deletion 4p	
162516	Isolated congenital nasal pyriform aperture stenosis		Q30.8
162516	Isolated congenital nasal pyriform aperture stenosis	Isolated apertura pyriformis stenosis	
162516	Isolated congenital nasal pyriform aperture stenosis	Isolated nasal pyriform aperture hypoplasia	
15	Achondroplasia		Q77.4
96	Ataxia with vitamin E deficiency		G11.1
96	Ataxia with vitamin E deficiency	AVED	
96	Ataxia with vitamin E deficiency	Ataxia with isolated vitamin E deficiency	
96	Ataxia with vitamin E deficiency	Familial isolated vitamin E deficiency	
96	Ataxia with vitamin E deficiency	Friedreich-like ataxia	
96	Ataxia with vitamin E deficiency	Isolated vitamin E deficiency	
162526	Isolated congenital auditory ossicle malformation		Q16.3
162526	Isolated congenital auditory ossicle malformation	Congenital auditory ossicle malformation without external ear abnormality	
101	Dentatorubral pallidoluysian atrophy		G11.8
101	Dentatorubral pallidoluysian atrophy	DRPLA	
101	Dentatorubral pallidoluysian atrophy	Dentatorubropallidoluysian atrophy	
101	Dentatorubral pallidoluysian atrophy	Naito-Oyanagi disease	
783	Rubinstein-Taybi syndrome		Q87.2
783	Rubinstein-Taybi syndrome	Broad thumb-hallux syndrome	
783	Rubinstein-Taybi syndrome	Broad thumbs-halluces syndrome	
163649	Spondyloepiphyseal dysplasia-craniosynostosis-cleft palate-cataracts-intellectual disability syndrome		Q77.7
631	Non-acquired isolated growth hormone deficiency		E23.0
631	Non-acquired isolated growth hormone deficiency	Congenital IGHD	
631	Non-acquired isolated growth hormone deficiency	Congenital isolated GH deficiency	
631	Non-acquired isolated growth hormone deficiency	Congenital isolated growth hormone deficiency	
276	T-B+ severe combined immunodeficiency due to gamma chain deficiency		D81.2
276	T-B+ severe combined immunodeficiency due to gamma chain deficiency	SCIDX1	
276	T-B+ severe combined immunodeficiency due to gamma chain deficiency	T-B+ SCID due to gamma chain deficiency	
276	T-B+ severe combined immunodeficiency due to gamma chain deficiency	T-B+ severe combined immunodeficiency, X-linked	
163654	Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome		Q77.7
163654	Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome	SED-BDS	
163654	Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome	Tattoo dysplasia	
481	Kennedy disease		G12.2
481	Kennedy disease	SBMA	
481	Kennedy disease	SMAX1	
481	Kennedy disease	X-linked BSMA	
481	Kennedy disease	X-linked bulbospinal amyotrophy	
481	Kennedy disease	X-linked bulbospinal muscular atrophy	
481	Kennedy disease	X-linked spinal and bulbar muscular atrophy	
664	Ornithine transcarbamylase deficiency		E72.4
664	Ornithine transcarbamylase deficiency	OCT deficiency	
664	Ornithine transcarbamylase deficiency	OTC deficiency	
664	Ornithine transcarbamylase deficiency	Ornithine carbamoyltransferase deficiency	
163668	Spondyloepiphyseal dysplasia, MacDermot type		Q77.7
163668	Spondyloepiphyseal dysplasia, MacDermot type	Spondyloepiphyseal dysplasia-myopia-sensorineural deafness syndrome	
163668	Spondyloepiphyseal dysplasia, MacDermot type	Spondyloepiphyseal dysplasia-myopia-sensorineural hearing loss syndrome	
163662	Spondyloepiphyseal dysplasia, Reardon type		Q77.7
394	Classic homocystinuria		E72.1
394	Classic homocystinuria	Cystathionine beta-synthase deficiency	
394	Classic homocystinuria	Homocystinuria due to cystathionine beta-synthase deficiency	
163665	Spondyloepiphyseal dysplasia tarda, Kohn type		Q77.7
508	Leprechaunism		E34.8
508	Leprechaunism	Donohue syndrome	
436	Hypophosphatasia		E83.3
436	Hypophosphatasia	HPP	
